soil_ph,soil_moisture,nitrogen,phosphorus,potassium,temperature,humidity,crop,irrigation_mm
7.12,41.87,61,20,17,44.09,76.45,Maize,42.5
6.8,47.2,99,66,27,27.85,74.75,Cotton,50.72
5.67,55.76,43,52,93,34.81,48.2,Cotton,65.86
6.76,22.39,95,61,33,18.48,32.99,Rice,110.28
5.62,52.77,94,43,104,20.2,58.2,Rice,87.66
7.41,12.27,147,23,100,40.69,72.82,Maize,55.97
5.99,13.53,11,36,88,32.26,55.23,Maize,59.31
7.14,57.07,76,69,78,21.2,47.81,Cotton,59.53
6.14,28.86,44,12,97,40.35,31.51,Wheat,66.69
5.85,44.84,84,33,124,37.05,82.23,Cotton,61.23
6.35,18.87,108,40,100,25.22,90.5,Wheat,57.69
7.75,47.73,114,34,21,31.03,62.28,Rice,92.04
6.67,24.88,28,53,104,15.33,88.85,Cotton,59.59
8.35,57.53,92,20,121,17.75,69.16,Sugarcane,99.93
7.16,20.64,62,27,148,38.69,35.93,Rice,110.35
7.15,32.08,84,22,80,35.64,84.4,Wheat,54.88
8.1,51.92,146,54,31,36.19,35.29,Sugarcane,113.83
7.94,57.36,54,8,40,26.29,35.43,Maize,26.24
7.83,37.92,100,78,94,24.91,58.24,Rice,88.9
7.21,47.05,70,43,5,35.43,45.44,Cotton,54.69
6.7,33.89,65,37,121,43.9,30.79,Rice,108.03
8.48,13.69,29,61,51,33.88,75.22,Sugarcane,143.84
6.86,41.38,127,7,148,37.11,89.49,Wheat,43.6
6.51,18.48,99,12,64,32.51,35.05,Maize,61.88
8.42,59.31,55,39,138,43.49,77.17,Rice,73.84
8.3,53.3,118,9,123,27.34,80.54,Wheat,46.68
6.94,59.26,20,30,67,26.79,83.9,Wheat,28.98
5.61,16.69,64,10,99,37.5,89.36,Wheat,65.99
7.26,46.31,92,21,89,28.52,38.4,Maize,41.91
6.19,43.59,41,38,96,23.06,31.44,Maize,45.0
6.99,33.81,12,54,16,39.49,92.92,Sugarcane,120.73
6.76,49.23,75,79,107,19.09,30.95,Rice,99.68
6.55,39.5,39,55,56,31.42,59.31,Rice,91.74
7.07,44.88,38,8,142,42.8,61.99,Cotton,65.98
6.27,32.96,43,10,57,25.42,43.59,Rice,89.28
7.11,33.01,89,79,122,35.93,41.7,Wheat,67.5
7.59,30.58,105,71,97,44.19,69.13,Sugarcane,135.52
6.54,27.38,31,25,74,18.62,59.95,Sugarcane,123.65
6.12,28.21,87,49,77,17.77,61.27,Wheat,55.72
5.97,28.86,90,30,40,39.19,78.64,Sugarcane,139.61
6.05,20.47,136,60,18,33.55,53.98,Wheat,76.52
5.61,22.62,16,7,115,40.33,78.73,Maize,53.31
5.59,53.36,47,19,123,26.32,31.3,Sugarcane,111.61
6.48,15.99,22,29,72,25.65,72.17,Cotton,71.36
6.94,39.21,43,12,117,31.93,54.62,Maize,47.96
7.32,22.22,68,74,125,22.12,36.62,Wheat,64.52
5.96,22.3,13,79,66,39.18,33.62,Rice,117.33
5.52,58.75,103,55,66,42.88,66.19,Rice,83.52
7.21,24.0,53,9,74,44.04,76.21,Maize,58.78
7.09,45.36,73,42,41,30.18,90.58,Maize,28.13
6.46,39.69,143,54,14,31.46,65.68,Cotton,64.8
5.76,16.94,82,21,13,32.87,60.65,Cotton,74.1
6.74,27.44,58,73,66,37.38,56.55,Maize,51.89
8.28,46.08,69,68,97,19.19,81.69,Maize,22.87
6.1,18.18,14,30,66,25.76,87.02,Maize,56.18
6.82,28.85,134,42,101,37.43,62.68,Sugarcane,130.2
6.2,54.98,62,55,43,18.51,91.09,Wheat,23.31
5.92,49.7,42,31,42,37.57,75.95,Maize,40.77
7.84,17.16,95,70,14,29.82,79.05,Rice,104.54
6.64,32.85,24,33,140,19.5,44.9,Wheat,51.09
7.67,46.0,104,40,40,36.49,68.94,Maize,32.72
6.77,24.4,116,16,145,19.17,36.55,Wheat,59.88
6.27,46.3,109,72,137,42.67,75.97,Rice,90.72
7.32,31.21,38,44,45,42.77,59.3,Maize,47.7
5.84,59.24,119,40,61,24.96,50.24,Sugarcane,111.16
6.64,47.21,66,30,39,26.95,64.93,Maize,27.95
8.26,27.32,100,21,132,21.74,59.41,Cotton,66.46
7.0,30.95,97,37,33,32.42,71.1,Maize,45.72
5.54,43.18,90,53,122,40.82,64.78,Wheat,50.25
6.43,29.87,132,60,66,21.15,42.39,Rice,94.52
5.61,33.6,28,22,5,38.27,59.46,Sugarcane,116.64
6.7,37.98,72,8,133,25.03,34.91,Sugarcane,131.9
7.76,23.62,119,38,128,39.02,93.63,Rice,106.46
6.26,19.81,81,58,71,41.62,66.19,Wheat,58.67
7.66,50.27,97,36,124,39.21,92.57,Sugarcane,103.51
5.76,41.66,94,23,116,20.44,67.9,Cotton,50.93
6.76,54.63,56,73,15,22.78,54.68,Rice,72.15
7.37,30.47,146,57,103,43.45,79.63,Rice,103.16
5.92,53.42,129,63,132,20.46,61.51,Wheat,47.0
7.6,30.13,31,8,33,20.15,47.7,Wheat,57.87
5.56,55.71,94,46,104,29.94,34.37,Wheat,45.76
7.66,15.33,95,31,61,22.99,77.59,Sugarcane,120.06
6.25,41.65,62,75,142,42.43,57.22,Wheat,58.29
5.64,18.31,116,69,55,17.71,80.11,Sugarcane,116.4
5.7,51.85,20,40,117,36.65,69.68,Rice,83.79
8.36,16.75,65,37,40,31.2,40.53,Rice,115.42
8.02,52.32,118,77,77,17.25,77.33,Rice,84.69
6.8,22.32,140,48,106,32.71,53.46,Rice,106.53
5.77,55.87,26,78,61,28.38,42.03,Wheat,49.16
7.7,50.33,127,74,29,42.1,72.03,Sugarcane,117.8
7.58,12.58,35,51,36,36.17,90.14,Wheat,68.99
8.25,11.7,126,11,141,20.78,37.49,Sugarcane,136.24
6.77,49.77,125,43,107,16.11,68.76,Sugarcane,105.68
5.73,44.81,117,43,19,39.12,65.0,Rice,89.74
7.48,46.89,25,46,112,21.99,31.59,Wheat,50.07
8.32,49.94,48,50,33,38.02,56.13,Cotton,64.35
6.94,41.38,130,14,107,30.68,77.6,Cotton,57.74
6.39,52.64,46,29,77,18.28,55.46,Wheat,38.7
5.87,57.82,46,65,128,27.53,87.14,Wheat,32.86
7.34,18.35,61,8,63,27.05,84.46,Wheat,64.46
6.19,51.53,119,78,111,20.3,44.33,Maize,35.96
6.55,12.89,56,53,13,42.83,94.67,Cotton,76.06
6.02,29.81,91,66,149,19.62,83.03,Sugarcane,116.85
7.11,39.65,110,15,109,26.74,47.74,Wheat,49.87
6.93,12.22,85,46,13,24.87,90.55,Wheat,58.75
6.26,10.25,142,52,94,30.98,92.54,Sugarcane,141.58
5.83,54.72,90,44,49,29.42,68.51,Rice,77.31
7.53,38.29,42,10,84,34.75,85.29,Cotton,65.26
8.1,45.42,116,49,93,42.9,36.88,Cotton,63.35
8.14,58.07,40,27,142,39.6,44.86,Wheat,49.19
8.23,10.06,11,16,43,20.79,35.47,Cotton,87.44
5.85,28.83,97,39,74,23.5,31.2,Maize,43.52
6.8,52.01,69,41,26,43.12,74.71,Maize,34.97
7.62,13.37,147,69,26,33.63,32.97,Rice,115.48
8.11,58.67,38,40,129,26.51,34.27,Sugarcane,110.44
7.96,22.63,35,50,33,43.33,36.64,Wheat,79.8
8.06,36.35,38,33,79,21.62,35.35,Wheat,61.74
6.32,57.54,101,25,51,27.59,71.5,Cotton,53.01
6.69,23.71,140,5,62,41.82,44.95,Sugarcane,134.88
8.09,33.66,81,64,149,17.73,39.99,Maize,52.75
6.86,36.52,140,68,28,42.63,70.08,Sugarcane,127.02
5.85,16.26,93,13,67,34.55,51.19,Rice,119.4
7.27,31.66,73,76,25,17.17,55.51,Maize,55.97
6.37,44.75,42,45,140,36.73,78.7,Sugarcane,115.15
5.94,15.14,55,36,84,29.47,43.67,Sugarcane,148.37
8.32,13.62,42,34,81,17.36,55.8,Maize,52.95
5.9,38.38,131,19,110,20.02,36.8,Wheat,60.78
5.59,56.81,112,36,45,36.27,86.61,Rice,82.04
7.64,50.09,71,11,88,31.59,68.84,Wheat,43.3
5.62,18.2,23,79,16,22.41,40.37,Sugarcane,145.64
8.12,20.96,64,49,140,41.15,58.19,Maize,62.68
6.98,14.08,44,65,97,27.55,43.23,Sugarcane,132.53
8.02,18.71,33,24,41,25.38,54.12,Cotton,77.35
6.82,46.26,75,38,10,34.65,94.49,Maize,37.82
6.35,27.96,140,22,44,40.08,45.33,Cotton,75.01
7.31,41.63,23,6,123,27.39,34.49,Maize,51.86
6.81,14.87,134,18,88,32.79,40.63,Sugarcane,146.45
6.27,42.84,54,27,51,22.04,87.44,Rice,80.91
6.83,26.54,102,14,80,39.87,58.01,Sugarcane,139.01
7.62,18.35,37,41,53,40.33,82.37,Cotton,69.85
7.26,53.41,117,65,118,44.6,37.99,Cotton,56.67
6.04,14.43,21,24,47,15.52,51.0,Wheat,69.05
8.42,39.01,47,27,132,18.98,39.33,Wheat,52.74
5.99,19.42,17,33,100,22.04,92.62,Wheat,57.3
6.27,43.08,128,47,118,22.32,84.01,Cotton,53.84
5.84,49.78,42,5,35,34.77,55.6,Cotton,60.48
7.45,15.33,72,77,93,41.12,80.86,Rice,117.61
8.14,30.21,141,23,86,41.34,50.62,Sugarcane,137.53
8.11,28.78,63,75,93,24.85,70.96,Wheat,61.46
6.64,37.42,58,39,106,17.2,69.22,Wheat,56.98
7.5,40.97,18,7,89,40.9,63.74,Rice,92.66
6.52,29.01,57,41,48,29.3,55.63,Sugarcane,130.19
7.15,47.34,117,47,25,20.87,30.49,Maize,42.91
6.23,56.35,24,72,25,29.38,42.65,Wheat,45.18
6.0,40.87,126,56,31,42.89,64.6,Rice,91.48
7.65,30.0,86,8,94,18.66,41.77,Rice,98.93
7.54,19.07,80,67,60,38.8,42.04,Wheat,73.04
5.76,50.79,129,49,110,18.37,30.17,Sugarcane,119.74
7.41,35.76,146,30,13,34.4,41.36,Sugarcane,134.15
7.81,37.83,100,41,72,23.24,83.47,Maize,34.85
6.77,43.38,78,51,53,37.11,86.08,Cotton,56.34
5.57,42.1,20,14,82,33.96,33.8,Sugarcane,126.7
5.93,23.73,16,22,71,28.28,58.98,Maize,58.12
7.31,26.86,41,43,113,17.38,35.57,Cotton,68.44
8.18,19.59,145,74,17,30.57,34.39,Wheat,68.53
7.12,54.0,59,71,48,24.73,51.65,Cotton,55.27
7.51,59.71,11,39,102,28.39,51.68,Cotton,45.1
8.38,41.75,56,59,110,17.9,59.27,Maize,36.89
7.77,27.38,149,12,7,42.82,45.25,Sugarcane,133.45
8.48,56.35,117,69,125,35.15,36.04,Sugarcane,115.82
6.27,49.4,41,37,20,30.21,40.35,Maize,36.02
6.64,27.32,84,71,59,19.85,81.11,Maize,36.72
7.22,38.33,21,53,46,31.19,70.82,Maize,43.35
7.66,17.06,16,56,18,17.43,56.19,Sugarcane,143.8
6.02,44.75,29,14,29,32.25,61.16,Sugarcane,123.9
5.92,54.91,134,56,135,43.58,83.64,Sugarcane,104.28
7.5,16.09,34,72,16,43.97,58.11,Maize,65.03
6.82,15.28,143,36,97,15.53,69.17,Maize,41.8
6.59,29.32,14,38,14,21.35,61.5,Wheat,58.95
6.39,31.52,146,25,77,38.48,47.25,Rice,110.75
6.03,44.58,106,8,8,44.9,82.91,Cotton,52.5
7.37,36.35,72,67,66,34.62,53.03,Maize,52.36
7.08,34.08,95,9,134,19.01,57.21,Cotton,64.24
7.54,19.48,142,69,17,15.36,45.68,Rice,110.21
8.43,50.08,148,67,56,22.98,39.7,Rice,89.86
7.93,40.7,51,25,46,41.76,92.1,Maize,33.6
7.86,25.77,138,6,64,17.29,48.16,Wheat,58.81
7.84,51.26,43,12,83,41.68,59.29,Wheat,49.7
8.15,15.28,96,12,81,16.14,78.5,Sugarcane,135.53
5.82,11.78,30,62,114,44.75,93.1,Cotton,83.91
8.33,49.19,60,62,9,31.49,83.98,Cotton,50.74
5.75,35.73,90,12,108,33.74,54.83,Sugarcane,123.93
6.12,16.07,135,72,82,17.08,92.39,Wheat,61.92
6.47,16.26,100,6,122,29.58,89.82,Rice,102.22
7.06,40.82,20,14,19,18.32,68.9,Rice,83.78
7.15,29.43,123,26,36,29.88,30.83,Rice,101.29
8.48,43.57,128,43,16,42.57,46.4,Rice,96.01
8.03,46.42,144,27,90,37.6,47.51,Cotton,71.08
7.12,46.4,11,33,31,43.95,61.75,Wheat,50.63
6.74,47.91,106,60,7,23.93,66.73,Rice,77.99
7.57,53.67,120,29,132,28.01,40.46,Maize,42.18
7.73,54.07,141,68,110,34.73,50.21,Cotton,57.24
7.73,50.76,75,45,116,38.51,66.02,Cotton,49.42
5.95,25.28,65,62,136,26.56,71.82,Cotton,63.03
7.84,20.86,46,58,107,15.1,70.27,Cotton,73.22
5.78,39.41,13,18,7,16.95,67.7,Rice,82.79
7.18,38.03,33,38,86,33.06,31.49,Cotton,75.76
5.95,44.77,85,34,62,36.23,81.26,Sugarcane,109.8
7.05,32.01,103,59,117,28.02,35.76,Cotton,74.05
7.71,59.92,127,49,149,34.13,62.25,Wheat,32.43
6.03,44.3,56,79,107,32.16,68.21,Wheat,45.77
6.5,11.31,122,74,85,42.89,80.87,Maize,57.47
5.67,52.64,78,68,53,28.06,90.93,Maize,30.74
5.65,55.2,138,28,61,15.21,33.72,Cotton,57.84
6.18,16.57,66,35,88,34.71,92.18,Cotton,68.97
6.24,55.31,129,14,84,26.14,57.88,Wheat,35.7
8.03,23.41,82,49,111,16.88,88.92,Sugarcane,123.09
6.73,27.37,136,19,147,41.46,55.57,Rice,100.66
7.98,49.39,66,41,62,44.39,39.42,Sugarcane,121.11
6.51,25.43,94,16,121,21.76,46.31,Cotton,74.7
8.05,38.06,90,28,65,21.82,56.26,Maize,48.03
7.15,40.65,107,69,78,19.97,91.47,Cotton,52.29
8.05,43.45,107,20,116,28.8,78.7,Wheat,50.09
5.84,27.8,108,68,67,29.92,52.09,Maize,48.64
8.12,37.24,77,19,124,18.79,72.88,Wheat,44.38
8.34,38.01,37,30,117,15.82,34.24,Wheat,49.43
6.89,55.46,106,46,10,26.16,59.36,Sugarcane,105.7
6.82,19.78,21,78,12,23.61,81.54,Rice,98.26
7.23,41.73,64,13,51,20.88,88.3,Cotton,37.68
7.17,18.3,89,7,113,42.18,48.0,Rice,119.78
8.45,17.04,138,12,105,36.98,83.32,Maize,61.22
8.4,52.84,146,16,143,30.16,92.86,Cotton,43.36
6.75,59.21,30,34,17,24.69,94.81,Wheat,31.42
5.78,11.47,135,9,13,39.57,65.15,Wheat,70.91
7.63,25.72,148,70,112,28.78,53.26,Cotton,79.34
6.51,18.69,30,32,38,25.44,59.27,Maize,55.12
7.75,42.56,137,26,21,40.24,60.63,Sugarcane,124.37
5.88,43.81,75,44,51,20.25,85.62,Sugarcane,110.99
6.18,51.85,96,67,71,35.82,63.32,Sugarcane,110.37
5.6,25.2,55,18,149,37.98,81.25,Wheat,57.91
7.49,23.01,143,27,95,26.69,54.67,Wheat,60.77
5.89,30.64,87,29,92,15.82,92.81,Sugarcane,109.71
5.88,45.38,119,55,135,37.62,82.32,Rice,82.14
7.99,24.08,129,42,65,17.05,47.12,Rice,105.97
5.64,38.36,61,18,57,23.92,49.49,Cotton,67.57
8.18,19.27,25,66,117,23.56,57.9,Sugarcane,142.91
6.3,49.46,78,52,24,21.61,61.74,Wheat,42.58
5.6,53.43,74,12,49,35.83,35.34,Wheat,58.41
8.23,33.22,24,23,30,19.94,41.09,Rice,96.12
7.87,41.98,64,75,96,18.13,54.99,Sugarcane,120.04
6.96,42.61,100,59,109,30.19,71.22,Rice,87.48
6.59,33.62,36,12,128,29.09,59.28,Wheat,55.32
6.92,41.13,44,52,88,21.21,63.58,Rice,85.43
7.91,38.6,71,58,130,23.33,83.08,Rice,81.94
6.35,50.91,30,55,63,30.22,86.82,Cotton,58.59
8.48,16.57,55,49,5,26.7,77.44,Cotton,73.29
8.15,43.55,118,16,49,36.55,92.01,Cotton,59.17
5.51,45.88,93,22,72,26.52,59.66,Cotton,58.66
6.61,16.05,93,19,45,43.25,73.46,Maize,55.92
7.28,10.51,60,77,125,19.63,41.17,Rice,119.32
7.41,47.05,102,42,135,31.02,39.24,Rice,91.46
6.39,34.3,54,66,53,21.48,60.33,Cotton,61.48
7.95,13.37,30,58,111,27.9,73.74,Wheat,62.33
7.87,32.32,107,36,83,37.78,36.43,Cotton,69.73
8.17,10.62,66,37,38,20.01,57.98,Maize,54.15
5.58,42.29,135,15,53,18.04,85.06,Maize,28.45
7.09,52.09,74,35,136,20.02,93.18,Maize,20.0
5.8,20.44,116,68,55,15.7,79.15,Wheat,56.63
6.88,24.46,131,41,128,24.42,87.75,Wheat,60.96
8.45,24.42,135,21,113,44.12,80.28,Rice,106.35
8.44,33.89,118,57,127,40.16,53.15,Maize,54.43
6.03,35.37,136,25,48,39.92,65.41,Rice,102.37
6.0,39.15,134,17,115,39.5,43.48,Cotton,73.25
6.4,26.29,28,41,89,19.44,85.42,Wheat,56.56
7.63,55.35,73,15,58,31.0,86.55,Cotton,47.89
5.87,49.71,29,45,50,16.03,93.02,Maize,21.05
8.35,35.65,117,56,100,29.76,49.66,Maize,63.29
7.19,32.06,91,55,8,39.2,60.97,Maize,44.82
8.49,12.97,90,76,67,41.5,59.14,Sugarcane,157.36
8.28,10.96,31,47,71,35.78,38.74,Cotton,89.85
6.4,27.94,44,60,34,43.72,30.58,Cotton,79.14
5.54,46.89,34,41,5,17.07,30.37,Sugarcane,122.21
8.31,51.1,136,5,39,33.41,35.76,Cotton,56.34
6.72,30.36,111,79,103,31.47,71.09,Wheat,57.0
7.23,44.89,54,65,87,30.68,49.47,Maize,40.96
7.88,45.35,75,70,17,35.01,43.72,Wheat,49.43
8.09,30.07,129,59,31,15.66,67.91,Cotton,62.49
6.16,11.68,62,23,61,37.79,42.21,Wheat,84.51
7.66,53.35,83,14,58,17.15,74.37,Wheat,38.68
7.97,50.2,31,34,8,19.29,80.4,Sugarcane,101.63
6.31,34.83,43,79,109,37.46,50.64,Cotton,70.48
5.64,23.81,47,54,12,15.11,46.04,Sugarcane,130.12
7.72,25.81,148,69,111,23.11,84.78,Wheat,59.36
8.18,31.69,121,60,149,35.61,62.1,Rice,96.32
6.66,41.64,129,59,142,19.17,46.53,Sugarcane,118.37
6.34,16.48,34,77,25,29.26,71.23,Maize,56.92
8.5,15.24,57,32,45,29.28,37.21,Cotton,89.96
5.51,52.95,22,17,104,40.51,43.78,Cotton,63.54
7.47,33.61,109,49,141,19.1,72.36,Wheat,45.29
7.43,29.76,63,58,69,41.71,48.68,Rice,111.74
6.6,12.9,127,58,142,31.31,36.49,Sugarcane,140.78
8.23,51.91,90,18,142,15.94,77.85,Sugarcane,108.41
6.49,55.3,125,28,33,28.92,92.63,Wheat,44.42
6.44,48.7,113,62,31,32.26,34.97,Sugarcane,122.9
6.65,28.39,143,11,37,37.17,44.51,Maize,60.87
7.2,43.15,144,55,79,39.89,69.4,Rice,101.47
6.37,20.35,68,8,108,16.97,44.84,Maize,53.06
7.74,33.69,13,13,123,38.56,94.44,Sugarcane,114.74
7.13,58.14,37,26,21,21.76,42.73,Wheat,41.15
7.84,38.91,20,57,108,42.19,40.65,Cotton,66.54
7.43,50.49,61,58,61,41.7,76.0,Cotton,50.69
8.37,36.48,24,65,126,35.39,34.96,Maize,50.85
6.32,50.35,87,78,50,27.98,32.85,Rice,88.37
6.13,12.5,84,54,15,26.76,72.84,Cotton,71.23
5.83,41.83,57,60,68,43.59,63.97,Wheat,54.27
8.26,18.8,111,30,138,20.7,81.52,Cotton,61.37
8.22,57.19,116,47,84,44.32,79.23,Wheat,41.42
7.65,22.37,74,47,43,38.44,92.41,Sugarcane,125.02
7.79,52.76,53,13,78,38.53,54.5,Sugarcane,124.41
5.64,50.4,113,70,59,36.87,36.2,Cotton,63.39
6.79,11.46,117,17,14,42.04,40.0,Sugarcane,168.27
6.94,41.77,126,39,103,43.53,67.51,Sugarcane,117.35
6.57,49.38,125,57,95,27.47,85.07,Rice,81.84
6.19,57.82,31,45,72,32.45,58.38,Maize,34.12
7.24,35.83,35,23,113,25.59,88.12,Wheat,54.59
6.93,34.88,125,12,45,23.87,68.6,Maize,39.38
5.6,41.8,77,19,133,27.28,82.71,Sugarcane,112.72
7.58,48.56,13,71,38,41.28,65.04,Maize,44.3
6.35,31.26,78,57,66,30.96,68.38,Maize,45.96
7.67,20.03,112,42,89,24.12,44.98,Wheat,63.87
5.5,46.47,85,42,145,27.68,49.69,Rice,94.58
7.95,19.08,135,51,122,27.17,44.33,Rice,103.74
7.79,37.12,25,63,35,37.61,31.34,Wheat,63.46
6.31,41.42,26,72,52,23.9,76.44,Maize,26.53
7.78,15.13,74,67,55,26.08,90.64,Wheat,64.39
7.64,33.09,10,27,126,36.87,86.01,Wheat,58.82
6.32,50.35,82,17,74,25.07,93.6,Rice,78.26
7.68,38.1,74,71,19,30.2,55.17,Wheat,58.27
8.22,10.8,52,39,82,36.11,93.07,Wheat,60.68
7.61,50.86,130,53,87,27.89,50.07,Maize,33.75
6.95,15.92,73,66,84,18.95,86.24,Wheat,56.79
6.37,53.57,124,61,76,22.51,70.62,Cotton,43.07
7.22,51.64,92,55,76,16.56,65.68,Rice,72.33
6.56,41.06,106,9,61,41.34,69.36,Cotton,58.41
6.24,27.79,59,23,127,16.7,54.3,Rice,97.17
7.51,41.61,23,23,132,37.53,36.59,Maize,51.08
6.33,23.82,114,61,140,17.03,63.72,Wheat,56.24
7.71,45.23,80,7,14,30.5,78.11,Sugarcane,110.3
7.39,37.48,31,30,43,20.16,90.16,Maize,33.21
7.59,32.9,120,70,57,15.45,92.73,Rice,80.99
6.25,43.8,105,52,74,24.39,47.62,Sugarcane,124.66
8.34,15.3,19,57,83,21.39,91.04,Sugarcane,131.0
5.52,48.62,109,34,29,16.51,70.79,Wheat,41.52
7.13,56.98,147,40,77,40.19,42.26,Cotton,56.92
7.52,58.85,83,31,58,24.81,87.85,Sugarcane,102.46
7.04,31.92,101,21,47,34.13,45.73,Sugarcane,133.65
7.64,14.57,122,27,115,37.16,30.89,Sugarcane,144.57
6.31,22.38,49,79,65,27.74,44.0,Sugarcane,133.18
7.29,39.74,103,52,142,41.55,54.91,Rice,88.68
7.86,29.87,111,69,124,44.63,48.95,Maize,56.88
7.81,31.37,143,43,117,40.96,89.49,Sugarcane,124.43
8.12,41.9,123,41,83,16.92,83.61,Cotton,57.53
6.38,32.2,13,11,65,29.09,31.84,Sugarcane,129.32
7.64,10.57,130,5,106,19.78,40.43,Wheat,67.92
5.71,19.28,30,75,113,39.79,59.0,Rice,110.1
7.16,22.74,70,67,126,39.86,81.3,Maize,57.66
6.42,55.69,105,9,40,33.97,54.28,Cotton,49.25
6.46,55.18,15,39,43,20.82,85.82,Rice,68.7
7.53,51.9,66,77,33,28.78,56.72,Cotton,50.0
6.97,31.48,113,70,138,38.68,49.29,Maize,60.97
7.12,27.26,135,36,126,25.63,36.85,Wheat,64.33
7.32,22.27,56,23,122,21.59,92.39,Sugarcane,116.93
7.35,37.84,42,66,23,35.37,56.77,Wheat,52.52
6.48,37.33,138,38,97,30.98,37.5,Rice,102.0
7.32,15.86,48,30,21,21.19,55.47,Sugarcane,135.62
7.02,30.96,71,21,29,35.2,56.53,Cotton,71.99
8.16,21.1,35,20,29,36.94,75.32,Wheat,63.82
8.12,20.17,117,55,122,38.75,59.33,Wheat,77.64
6.05,52.75,24,7,143,17.27,55.21,Sugarcane,107.56
7.13,58.4,125,61,53,17.22,54.41,Cotton,49.83
7.91,31.67,132,71,87,17.1,77.4,Maize,46.92
6.62,28.47,84,34,134,34.85,61.46,Maize,55.77
5.52,50.22,70,52,140,27.78,65.62,Rice,72.01
7.53,47.93,108,68,48,37.27,41.04,Rice,94.67
6.08,54.52,140,25,68,38.23,85.42,Maize,37.99
6.42,30.75,20,58,20,21.07,50.4,Cotton,68.1
6.22,20.75,103,14,48,37.37,66.27,Sugarcane,131.97
6.83,32.54,71,66,42,31.0,71.39,Sugarcane,126.55
7.74,21.25,131,17,104,39.71,34.1,Cotton,87.26
6.88,59.17,93,37,32,21.52,60.16,Wheat,37.8
6.29,30.76,105,39,83,31.72,32.53,Rice,98.47
8.19,54.41,113,22,6,37.44,82.83,Wheat,46.15
7.62,58.36,36,24,144,24.8,78.63,Sugarcane,105.19
8.49,22.07,22,39,52,24.37,31.02,Wheat,69.67
5.55,55.83,109,36,103,43.15,56.96,Sugarcane,108.53
5.71,41.92,28,47,78,19.15,67.62,Cotton,47.42
7.21,53.42,148,59,32,30.83,43.76,Sugarcane,121.78
7.65,39.66,41,15,59,40.91,37.15,Rice,103.92
8.28,41.58,96,45,63,35.91,72.16,Wheat,47.11
7.41,39.97,113,26,97,43.46,33.94,Rice,100.19
7.56,11.25,68,47,16,28.65,74.57,Maize,59.89
8.36,54.08,75,41,70,42.64,67.91,Rice,89.21
7.28,27.75,17,33,44,21.92,89.52,Maize,34.5
7.57,39.84,54,63,92,41.54,38.14,Cotton,74.28
6.1,20.81,128,61,12,43.22,80.43,Maize,54.86
6.81,29.8,26,68,46,43.14,35.53,Rice,104.97
6.66,13.55,117,62,38,29.25,33.59,Maize,71.66
8.46,18.3,81,44,60,19.67,43.47,Maize,43.68
7.39,20.99,65,64,142,22.69,53.1,Rice,101.48
